Id,Name,Address,Latitude,Longitude,Type,Size
65,,"3021 Pikes Peak Road, Parker 80138",-104.6009958,39.5343824,P,9
66,,"4826 S Nelson St, Littleton 80127",-105.1163252,39.6294729,P,12
67,,"4054 Wyandot St, Denver 80211",-105.014382,39.772681,P,9
68,,"9184 Lark Sparrow Pl, Littleton 80126",-104.9409387,39.5488907,P,6
69,,"3035 Eldridge St, Golden 80401",-105.156873,39.7597049,P,6
70,,"1675 S Mobile St, Aurora 80017",-104.7974261,39.6861184,P,16
71,,"952 Kenton St, Aurora 80010",-104.85944,39.7307114,P,6
72,,"11230 Wintergreen Dr, Parker 80138",-104.7262316,39.5122329,P,12
73,,"5543 Xandu St, Denver 80239",-104.8300715,39.7956184,P,16
74,,"2569 Wynterbrook, Highlands Ranch 80126",-104.9600136,39.536829,P,6
75,,"411 S Bryant St, Denver 80219",-105.0183246,39.7090867,P,12
76,,"14290 E 52nd Ave, Denver 80239",-104.8221831,39.7895596,P,6lid
77,,"295 Antelope Run, Elizabeth 80107",-104.6560451,39.4094893,P,16
78,,"508 Tucson St, Aurora 80011",-104.8362731,39.7234854,P,16
79,,"601 Coyote Trail, Elizabeth 80107",-104.6510846,39.4337665,P,6
80,,"13880 W 75th Pl, Arvada 80005",-105.1563461,39.8329536,P,12
81,,"1869 Belgian Trail, Elizabeth 80107",-104.6263756,39.3847623,P,16
82,,"29196 Histead Dr, Evergreen 80439",-105.3311845,39.6431803,P,9
83,,"503 Timberline Pl, Littleton 80126",-104.9852753,39.5519017,P,9
84,,"3090 S Golden Way, Denver 80027",-105.0583671,39.6564298,P,16
85,,"6244 S Cedar St, Littleton 80120",-105.0055879,39.6034773,P,9
86,,"12543 Eliot St, Broomfield 80020",-105.0237574,39.9237193,P,6
87,,"3121 W 28th Ave, Denver 80211",-105.0270902,39.7574693,P,12
